iter	Passed	Remaining
0	0	89
1	1	92
2	2	83
3	3	76
4	4	79
5	5	80
6	6	80
7	6	79
8	7	78
9	8	77
10	9	76
11	10	76
12	11	75
13	12	75
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	18	66
22	19	65
23	20	65
24	21	64
25	22	63
26	22	61
27	23	60
28	24	59
29	24	58
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
