iter	Passed	Remaining
0	136	136252
1	136	68353
2	137	45728
3	138	34409
4	139	27664
5	139	23161
6	140	19939
7	141	17522
8	142	15646
9	142	14135
10	143	12894
11	144	11876
12	145	11008
13	145	10261
14	146	9620
15	147	9049
16	147	8545
17	148	8095
18	148	7691
19	149	7328
20	150	6999
21	150	6699
22	151	6425
23	151	6174
24	152	5942
25	152	5729
26	153	5530
27	154	5348
28	154	5179
29	155	5020
30	155	4871
31	156	4731
32	156	4600
33	157	4477
34	158	4360
35	158	4251
36	159	4152
37	160	4065
38	161	3973
39	161	3886
40	162	3801
41	163	3726
42	164	3655
43	165	3586
44	165	3516
45	166	3449
46	166	3384
47	167	3322
48	168	3262
49	168	3204
50	169	3149
51	169	3095
52	170	3043
53	170	2994
54	171	2946
55	172	2900
56	172	2855
57	173	2816
58	174	2775
59	174	2736
60	175	2698
61	175	2660
62	176	2624
63	177	2590
64	177	2555
65	178	2522
66	178	2490
67	179	2458
68	180	2428
69	180	2399
70	181	2370
71	181	2341
72	182	2314
73	182	2287
74	183	2261
75	183	2236
76	184	2211
77	185	2186
78	185	2163
79	186	2141
80	186	2119
81	187	2098
82	187	2076
83	188	2058
84	189	2041
85	190	2024
86	191	2006
87	191	1989
88	192	1972
89	193	1956
90	194	1940
91	195	1924
92	195	1909
93	196	1894
94	197	1880
95	198	1866
96	198	1852
97	199	1838
98	200	1825
99	201	1812
100	202	1799
101	202	1785
102	203	1774
103	204	1761
104	205	1750
105	206	1738
106	206	1726
107	207	1714
108	208	1703
109	209	1692
110	210	1682
111	210	1671
112	211	1660
113	212	1649
114	213	1639
115	213	1629
116	214	1618
117	215	1608
118	215	1598
119	216	1589
120	217	1579
121	218	1571
122	219	1562
123	220	1554
124	220	1544
125	221	1534
126	221	1523
127	222	1514
128	222	1505
129	223	1496
130	224	1487
131	224	1477
132	225	1468
133	225	1459
134	226	1451
135	227	1442
136	227	1434
137	228	1425
138	228	1417
139	229	1409
140	230	1401
141	230	1392
142	231	1384
143	231	1376
144	232	1369
145	232	1362
146	233	1355
147	234	1348
148	234	1341
149	235	1334
150	236	1328
151	236	1321
152	237	1314
153	238	1308
154	238	1301
155	239	1294
156	239	1288
157	240	1281
158	241	1275
159	241	1269
160	242	1261
161	242	1255
162	243	1249
163	244	1243
164	244	1238
165	245	1233
166	246	1228
167	250	1238
168	251	1234
169	251	1230
170	252	1225
171	253	1220
172	254	1215
173	255	1211
174	255	1206
175	256	1201
176	257	1197
177	258	1192
178	259	1188
179	259	1183
180	260	1179
181	261	1174
182	262	1170
183	262	1166
184	263	1161
185	264	1156
186	264	1151
187	265	1146
188	266	1141
189	266	1136
190	267	1131
191	267	1126
192	268	1122
193	269	1117
194	269	1112
195	270	1108
196	270	1104
197	271	1100
198	272	1096
199	273	1092
200	273	1089
201	274	1085
202	275	1081
203	276	1077
204	277	1076
205	279	1077
206	280	1075
207	281	1071
208	282	1067
209	282	1063
210	283	1059
211	283	1055
212	284	1051
213	285	1047
214	285	1043
215	286	1039
216	287	1035
217	287	1031
218	288	1027
219	288	1023
220	289	1020
221	290	1016
222	290	1013
223	291	1010
224	292	1007
225	293	1004
226	294	1001
227	294	998
228	295	994
229	295	990
230	296	987
231	297	983
232	297	980
233	298	976
234	299	973
235	299	969
236	300	966
237	300	962
238	301	959
239	301	955
240	302	952
241	303	949
242	303	945
243	304	942
244	304	939
245	305	935
246	306	933
247	307	931
248	307	928
249	308	926
250	309	924
251	310	921
252	311	918
253	311	916
254	312	913
255	313	911
256	314	908
257	315	906
258	315	903
259	316	901
260	317	898
261	318	896
262	319	894
263	319	891
264	320	889
265	321	887
266	322	884
267	322	881
268	323	878
269	324	876
270	324	873
271	325	870
272	325	867
273	326	865
274	327	863
275	328	861
276	329	858
277	329	856
278	330	854
279	331	852
280	332	850
281	332	847
282	333	845
283	334	842
284	335	840
285	336	838
286	336	836
287	337	834
288	338	832
289	339	830
290	340	828
291	340	826
292	341	824
293	342	822
294	343	820
295	343	818
296	344	815
297	345	813
298	346	811
299	346	809
300	347	807
301	348	805
302	349	803
303	350	801
304	351	800
305	352	798
306	352	796
307	353	793
308	353	791
309	354	789
310	355	786
311	355	784
312	356	782
313	356	779
314	357	777
315	358	775
316	358	772
317	359	770
318	359	768
319	360	765
320	360	763
321	361	761
322	362	758
323	362	756
324	363	754
325	363	752
326	364	750
327	365	748
328	366	747
329	367	745
330	367	743
331	368	741
332	369	739
333	369	737
334	370	735
335	371	733
336	371	731
337	372	728
338	372	726
339	373	724
340	373	722
341	374	720
342	375	718
343	375	716
344	376	714
345	376	712
346	377	710
347	377	708
348	378	706
349	379	704
350	379	702
351	380	700
352	381	698
353	381	696
354	382	694
355	382	692
356	383	690
357	384	688
358	384	686
359	385	684
360	385	682
361	386	680
362	386	678
363	387	677
364	388	675
365	388	673
366	389	671
367	389	669
368	390	667
369	390	665
370	391	663
